occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Machinery Operators and Drivers,"Mobile Plant Operators, nfd",59.148716773602196,37.213565536205316,2.2170027497708524,1.4207149404216315
Machinery Operators and Drivers,Other Machine Operators,47.473926588107815,28.990925098198563,8.562914804280103,14.97223350941352
Machinery Operators and Drivers,Other Mobile Plant Operators,55.770433991240544,28.53933223366134,8.10534099311757,7.584892781980548
Machinery Operators and Drivers,Other Stationary Plant Operators,48.58397396728859,39.43131598766572,5.756469100365197,6.228240944680488
Machinery Operators and Drivers,Paper and Wood Processing Machine Operators,65.20719710484735,27.29496916254651,3.5017075284163313,3.996126204189817
Machinery Operators and Drivers,Photographic Developers and Printers,42.591070939468636,18.707203505888796,14.050944946589974,24.650780608052585
Machinery Operators and Drivers,Plastics and Rubber Production Machine Operators,57.35044504243428,31.91057752018216,5.547505692403229,5.191471744980335
Machinery Operators and Drivers,"Road and Rail Drivers, nfd",60.355126690298015,21.2189838519102,8.497439936983062,9.928449520808718
Machinery Operators and Drivers,Sewing Machinists,69.979035639413,13.616352201257861,6.813417190775682,9.59119496855346
Machinery Operators and Drivers,"Stationary Plant Operators, nfd",57.83460282916214,35.66376496191513,4.1077257889009795,2.3939064200217635
Machinery Operators and Drivers,Storepersons,61.18780410027466,20.094020347072924,7.59054858918046,11.127626963471965
Machinery Operators and Drivers,Textile and Footwear Production Machine Operators,64.1318124207858,21.96270143038204,4.7800108636610545,9.125475285171104
Machinery Operators and Drivers,Train and Tram Drivers,41.2741528983478,43.861663399607956,6.916830019602353,7.947353682441893
Machinery Operators and Drivers,Truck Drivers,64.45180050106148,26.978639487267202,4.999346004084959,3.5702140075863524
Managers,"Accommodation and Hospitality Managers, nfd",35.709281961471106,14.640980735551663,18.42381786339755,31.225919439579684
Managers,"Advertising, Public Relations and Sales Managers",22.286045682387318,8.941591629130821,13.169651090827864,55.602711597653986
Managers,"Amusement, Fitness and Sports Centre Managers",27.054350053507594,23.381679910744786,17.429813975728045,32.134156060019585
Managers,Aquaculture Farmers,45.00092064076597,22.77665255017492,8.911802614619775,23.310624194439328
Managers,"Business Administration Managers, nfd",19.115785373454084,10.395364689843216,15.687992988606483,54.800856948096204
Managers,Cafe and Restaurant Managers,34.58316431808963,15.934022327648542,19.547715207844657,29.935098146417168
