occ_group,occ,No qualification,Cert III/IV,Dip/Ad-dip,Bachelor
Labourers,Other Miscellaneous Labourers,8087.5,3876.9,1006.3,1373.4
Labourers,Packers,12015,1791.9,1131.2,2508.5
Labourers,"Packers and Product Assemblers, nfd",161.4,20.3,11.8,30.5
Labourers,Paving and Surfacing Labourers,1357.5,762.3,74.5,41.5
Labourers,Plastics and Rubber Factory Workers,396.8,107.1,29.3,48.3
Labourers,Printing Assistants and Table Workers,523.4,178.9,65.9,114.2
Labourers,Product Assemblers,4517.8,1555.8,511.9,752.3
Labourers,Product Quality Controllers,1379.4,651.1,374.3,1112.2
Labourers,Railway Track Workers,882.9,593.7,63.5,61.4
Labourers,Recycling and Rubbish Collectors,442.3,171.2,29.2,28.9
Labourers,Shelf Fillers,7287.6,1890.3,1036.4,1791.2
Labourers,Structural Steel Construction Workers,5137.4,3823.7,335.9,281.2
Labourers,Timber and Wood Process Workers,1287.5,326.9,37.2,60.6
Labourers,Vending Machine Attendants,828.8000000000001,327,171.3,222.6
Machinery Operators and Drivers,"Agricultural, Forestry and Horticultural Plant Operators",1885.1,1100.4,134.3,113.8
Machinery Operators and Drivers,Automobile Drivers,4548,1372.9,2798.8,4355.6
Machinery Operators and Drivers,Bus and Coach Drivers,3497.2000000000003,1947,1060.3,1248.6
Machinery Operators and Drivers,"Clay, Concrete, Glass and Stone Processing Machine Operators",646.8000000000001,305.7,52.1,70.3
Machinery Operators and Drivers,"Crane, Hoist and Lift Operators",2043,1403.9,141.2,81
Machinery Operators and Drivers,Delivery Drivers,6795.3,2267.8,899.4,1464.3
Machinery Operators and Drivers,"Drillers, Miners and Shot Firers",10045.2,7638.3,873.4,596.4
Machinery Operators and Drivers,Earthmoving Plant Operators,7200,4398.6,334.2,162.6
Machinery Operators and Drivers,Engineering Production Workers,2980.4,2325.5,435.1,338.2
Machinery Operators and Drivers,Forklift Drivers,13657.3,3866.2,921.2,916.5
Machinery Operators and Drivers,Industrial Spraypainters,1021.2,834,50,46.4
Machinery Operators and Drivers,"Machine and Stationary Plant Operators, nfd",676.6,254.6,51.2,66.10000000000001
Machinery Operators and Drivers,"Machine Operators, nfd",5153.3,2085.5,488.2,558.2
Machinery Operators and Drivers,"Machinery Operators and Drivers, nfd",2238.8,1557.5,254.1,157.5
Machinery Operators and Drivers,"Mobile Plant Operators, nfd",1032.5,649.6,38.7,24.8
Machinery Operators and Drivers,Other Machine Operators,1752.5,1070.2,316.1,552.7
Machinery Operators and Drivers,Other Mobile Plant Operators,1961,1003.5,285,266.7
Machinery Operators and Drivers,Other Stationary Plant Operators,3419,2774.9,405.1,438.3
Machinery Operators and Drivers,Paper and Wood Processing Machine Operators,1279.3,535.5,68.7,78.4
Machinery Operators and Drivers,Photographic Developers and Printers,155.5,68.3,51.3,90
Machinery Operators and Drivers,Plastics and Rubber Production Machine Operators,1385.3,770.8,134,125.4
Machinery Operators and Drivers,"Road and Rail Drivers, nfd",1838.9,646.5,258.9,302.5
Machinery Operators and Drivers,Sewing Machinists,1335.2,259.8,130,183
Machinery Operators and Drivers,"Stationary Plant Operators, nfd",212.6,131.1,15.1,8.8
Machinery Operators and Drivers,Storepersons,23793,7813.6,2951.6,4327
Machinery Operators and Drivers,Textile and Footwear Production Machine Operators,354.2,121.3,26.400000000000002,50.4
Machinery Operators and Drivers,Train and Tram Drivers,1473.9,1566.3,247,283.8
Machinery Operators and Drivers,Truck Drivers,32029,13406.9,2484.4,1774.2
Managers,"Accommodation and Hospitality Managers, nfd",203.9,83.6,105.2,178.3
Managers,"Advertising, Public Relations and Sales Managers",10875.1,4363.3,6426.5,27132.9
Managers,"Amusement, Fitness and Sports Centre Managers",1188.2,1026.9,765.5,1411.3
Managers,Aquaculture Farmers,244.4,123.7,48.4,126.6
Managers,"Business Administration Managers, nfd",392.6,213.5,322.2,1125.5
Managers,Cafe and Restaurant Managers,7843.6,3613.9,4433.5,6789.4
Managers,Call or Contact Centre and Customer Service Managers,4509,3925.8,2798.9,5072.2
Managers,Caravan Park and Camping Ground Managers,325.8,212.9,92.9,98
Managers,Chief Executives and Managing Directors,3069.1,2159,1808.1,8444.9
Managers,"Chief Executives, General Managers and Legislators, nfd",22.4,11.2,25.1,90.3
Managers,Child Care Centre Managers,218.3,203,2184.3,1905.4
Managers,Commissioned Officers (Management),422.3,265.40000000000003,463,1488.3
Managers,Conference and Event Organisers,2141.2,868.5,2205.7,4735.3
Managers,Construction Managers,4827.3,15127.4,4704.3,10218.5
Managers,"Construction, Distribution and Production Managers, nfd",206.9,214.4,127.10000000000001,295.2
Managers,Corporate Services Managers,479.6,261,368,1132.3
Managers,Crop Farmers,5571,2365.9,990.4,1507
Managers,"Education, Health and Welfare Services Managers, nfd",30.1,17.4,38,210.20000000000002
Managers,Engineering Managers,282.9,590.3000000000001,599.1,3982.9
Managers,"Farmers and Farm Managers, nfd",1133.7,532.6,220.7,319.2
Managers,Finance Managers,1776.7,638.4,1457.4,13180.7
Managers,General Managers,3699.7000000000003,2177.1,2615.9,8496
Managers,Health and Welfare Services Managers,634.3000000000001,602.6,1175.9,4394.4
Managers,"Hospitality, Retail and Service Managers, nfd",274.4,174.1,165.5,239.1
Managers,Hotel and Motel Managers,2960.4,1298.2,1272.6,1795.2
Managers,Human Resource Managers,2470.1,1511.1,2889.8,9930.7
Managers,ICT Managers,3429.3,1332.3,3103.3,16287.4
Managers,"Importers, Exporters and Wholesalers",2127,803.5,554,1611.2
Managers,Legislators,84.5,39,43.8,281.2
Managers,Licensed Club Managers,882.3,436.4,505.8,366
Managers,Livestock Farmers,6277,3337.4,1532.2,1950
Managers,"Managers, nfd",3296.8,1953.3,1591.8,4995.2
Managers,Manufacturers,1682.1,1178.3,378.2,657.5
Managers,"Miscellaneous Hospitality, Retail and Service Managers, nfd",114.3,126.5,73.3,115.5
Managers,Mixed Crop and Livestock Farmers,2542.9,1336.1,592.5,838.1
Managers,Other Accommodation and Hospitality Managers,465,246.9,266.90000000000003,467
Managers,Other Education Managers,208.6,153.70000000000002,330.5,2337.9
Managers,"Other Hospitality, Retail and Service Managers",5800.5,4233.9,2983.1,5526.1
Managers,Other Specialist Managers,3043.2,2172.9,2534.6,10834.4
Managers,Policy and Planning Managers,588.5,281.6,598.2,6346
Managers,Production Managers,5246.5,4736,2406.9,4877.1
Managers,Research and Development Managers,283.2,159,288.2,3435
Managers,Retail Managers,30790.600000000002,13168.3,10312.5,16754
Managers,School Principals,35.4,7.9,133.9,5291.7
Managers,Senior Non-commissioned Defence Force Members,419.2,306.3,360.40000000000003,53.800000000000004
Managers,"Specialist Managers, nfd",1690.9,1266.1,1214.8,4577.9
Managers,"Supply, Distribution and Procurement Managers",3985.1,1763.7,1847.5,4529.2
Managers,Transport Services Managers,2298.8,1311.5,705.2,843.5
Professionals,Accountants,3153.4,768.9,2770.7,57588.5
Professionals,"Actors, Dancers and Other Entertainers",691.2,249.2,368.9,794.3
Professionals,"Actuaries, Mathematicians and Statisticians",98.7,33.1,40.6,2365.5
Professionals,Advertising and Marketing Professionals,4244.6,1429.3,3114.9,23581.4
Professionals,Agricultural and Forestry Scientists,169.8,101,194.9,1456.7
Professionals,Air Transport Professionals,853.1,533.3,1839.3,2067.8
Professionals,Anaesthetists,5.9,0,14.9,1472
Professionals,Architects and Landscape Architects,213,63.2,298.9,8550.2
Professionals,"Architects, Designers, Planners and Surveyors, nfd",356.2,180.70000000000002,510.6,1682.7
Professionals,"Archivists, Curators and Records Managers",259.2,147.8,179.70000000000002,1313.1
Professionals,"Artistic Directors, and Media Producers and Presenters",1053.7,252.2,633.2,2547.3
Professionals,"Arts Professionals, nfd",234.5,65.8,121.10000000000001,488
Professionals,Audiologists and Speech Pathologists \ Therapists,37.3,3.6,16.4,4779.1
Professionals,"Auditors, Company Secretaries and Corporate Treasurers",681.9,343.1,496.1,6474.7
Professionals,"Authors, and Book and Script Editors",156.2,49.2,106.9,1200.7
Professionals,Barristers,54.1,14.6,88.9,2228.7
Professionals,"Business and Systems Analysts, and Programmers, nfd",45.6,6.6,39.2,346.4
Professionals,"Business, Human Resource and Marketing Professionals, nfd",118.3,63.2,105.3,853.5
Professionals,Chemical and Materials Engineers,35.7,18.7,20,1294.4
Professionals,"Chemists, and Food and Wine Scientists",172.7,44.9,110.6,2444.4
Professionals,Chiropractors and Osteopaths,23.7,0,15.3,2652.3
Professionals,Civil Engineering Professionals,527.9,316.9,592.6,15799.1
Professionals,Complementary Health Therapists,52,23.1,406.9,1427.9
Professionals,Computer Network Professionals,1676.4,852.8,1803.1,5793.6
Professionals,Counsellors,433.9,335.2,588,4324.2
Professionals,"Database and Systems Administrators, and ICT Security Specialists",1847.1000000000001,995.2,1633,6255.9
Professionals,Dental Practitioners,102.6,33.2,53.1,5527.5
Professionals,"Design, Engineering, Science and Transport Professionals, nfd",26.7,24.4,22.5,209.9
Professionals,Early Childhood (Pre-primary School) Teachers,253.20000000000002,309.3,1201.7,9279.5
Professionals,Economists,35.6,5.4,15.3,1275.7
Professionals,Education Advisers and Reviewers,212.5,140.2,266,2437.8
Professionals,"Education Professionals, nfd",128.4,125.8,147.2,855.5
Professionals,Electrical Engineers,177,256.7,524.5,5337.3
Professionals,Electronics Engineers,92.7,82.8,142.8,1499.2
Professionals,"Engineering Professionals, nfd",247.9,340.8,374.3,4469.8
Professionals,Environmental Scientists,474.9,392.8,378.5,5716.2
Professionals,"Fashion, Industrial and Jewellery Designers",474.2,268.8,813.1,2247.5
Professionals,"Film, Television, Radio and Stage Directors",842.7,275.2,686.3,2448.5
Professionals,Financial Brokers,1755.5,870.2,3172,3998.9
Professionals,"Financial Brokers and Dealers, and Investment Advisers, nfd",80.2,23.8,46.6,300.4
Professionals,Financial Dealers,1124.5,276.1,641.6,5821.6
Professionals,Financial Investment Advisers and Managers,1011.4,307.7,2136.8,8534.3
Professionals,General Practitioners and Resident Medical Officers,264.9,58.2,140.4,21871.5
Professionals,"Geologists, Geophysicists and Hydrogeologists",52.2,8.3,21.4,2972.5
Professionals,"Graphic and Web Designers, and Illustrators",1974.5,1336.4,4605,11223.4
Professionals,"Health Professionals, nfd",55.2,51.2,77.2,495.1
Professionals,Human Resource Professionals,5286.2,2920.7,3690.3,14492.5
Professionals,ICT Business and Systems Analysts,1191.2,355,798.6,8370.9
Professionals,"ICT Network and Support Professionals, nfd",55.3,31,60.7,221.1
Professionals,"ICT Professionals, nfd",1364.5,475.9,958.8,5707.9
Professionals,ICT Sales Professionals,1826.9,522.8,875.5,3756.7
Professionals,ICT Support and Test Engineers,650.5,306.3,684.1,3801.1
Professionals,ICT Trainers,89.5,95.5,105.6,355.9
Professionals,"Industrial, Mechanical and Production Engineers",280.8,608.3,593.2,8602.1
