occ_group,occ
Labourers,Food Trades Assistants
Labourers,Kitchenhands
Labourers,"Other Labourers, nfd"
Labourers,"Freight Handlers and Shelf Fillers, nfd"
Labourers,Freight and Furniture Handlers
Labourers,Shelf Fillers
Labourers,"Miscellaneous Labourers, nfd"
Labourers,Caretakers
Labourers,Deck and Fishing Hands
Labourers,Handypersons
Labourers,Motor Vehicle Parts and Accessories Fitters
Labourers,Printing Assistants and Table Workers
Labourers,Recycling and Rubbish Collectors
Labourers,Vending Machine Attendants
Labourers,Other Miscellaneous Labourers
NA,Inadequately described
NA,Not stated
NA,Not applicable
NA,NA
